tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0264584	movie	The Back of the World	La espalda del mundo	0	2000.0		89	Documentary
tt0264588	movie	Mei you ni mei you wo	Mei you ni mei you wo	0	2000.0		93	
tt0264590	movie	I Didn't Know Tururu	Eu Não Conhecia Tururu	0	2000.0		100	Drama
tt0264605	movie	Extreme Force	Extreme Force	0	2001.0		90	Action
tt0264606	movie	Extreme Honor	Extreme Honor	0	2001.0		90	Action,Drama
tt0264608	short	Fade out	Fade out	0	2000.0		15	Drama,Short
tt0264616	movie	Frailty	Frailty	0	2001.0		100	Crime,Drama,Thriller
tt0264624	movie	Further	Further	0	2000.0		60	Documentary,Sport
tt0264647	movie	Give Me Your Soul...	Give Me Your Soul...	0	2000.0		82	Documentary
tt0264666	movie	The Man Who Bought Mustique	The Man Who Bought Mustique	0	2000.0		78	Documentary
tt0264669	video	Gym Sex Adventure	Gym Sex Adventure	1	2000.0			Adult
tt0264675	movie	Head Cheerleader Dead Cheerleader	Head Cheerleader Dead Cheerleader	0	2000.0		80	Horror
tt0264683	movie	High Times Potluck	High Times Potluck	0	2002.0		90	Comedy,Crime
tt0264686	short	Histoire d'habitude	Histoire d'habitude	0	2000.0		15	Short
tt0264689	movie	Home Room	Home Room	0	2002.0		133	Crime,Drama
tt0264692	movie	A Hora Marcada	A Hora Marcada	0	2000.0		100	Thriller
tt0264710	movie	Interstate 84	Interstate 84	0	2000.0		99	Drama,Mystery
tt0264734	video	Joseph: King of Dreams	Joseph: King of Dreams	0	2000.0		74	Adventure,Animation,Biography
tt0264735	movie	Jour de nuit	Jour de nuit	0	2000.0		81	Documentary
tt0264738	short	Merry Christmas, Rachid	Joyeux Noël, Rachid	0	2001.0		15	Short
tt0264740	movie	Juegos bajo la luna	Juegos bajo la luna	0	2000.0		84	Drama
tt0264761	movie	Kissing Jessica Stein	Kissing Jessica Stein	0	2001.0		97	Comedy,Drama,Romance
tt0264778	movie	Lagarista	Lagarista	0	2000.0		100	Action,Drama,Romance
tt0264792	movie	Let's Get Skase	Let's Get Skase	0	2001.0		96	Action,Adventure,Comedy
